reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min,top_col,H_slab_m
T1Tb,forced_slab_from_T2A,3459,-2.1386254101532987,2.648959042549735,3.6676456051679334,0.5683226003805069,13.027245000000004,2.861061792164037,-10.166183207835967,2026-04-01 14:56:00,2026-04-01 17:21:00,145.0,T2A,0.09499999999999999
T1Tb,forced_slab_from_T2A,3459,-2.119818675087341,2.64692728114806,3.665204348276413,0.555851932148773,13.027245000000004,2.855951810536965,-10.17129318946304,2026-04-01 14:56:00,2026-04-01 17:30:00,154.0,T2A,0.09999999999999998
T1Tb,forced_slab_from_T2A,3459,-2.1017460710102807,2.645849441858716,3.663844520593814,0.542771612050771,13.027245000000004,2.847883916298599,-10.179361083701405,2026-04-01 14:56:00,2026-04-01 17:30:00,154.0,T2A,0.10499999999999998
T1Tb,forced_slab_from_T2A,3459,-2.08438464477508,2.6456709751183665,3.6634551447157855,0.5291759013230136,13.027245000000004,2.8367633853307552,-10.190481614669249,2026-04-01 14:56:00,2026-04-01 17:30:00,154.0,T2A,0.10999999999999997
T1Tb,forced_slab_from_T2A,3459,-2.0677126178272784,2.6463557709177628,3.6639252664751223,0.5151577340615613,13.027245000000004,2.828737825854148,-10.198507174145856,2026-04-01 14:56:00,2026-04-01 17:38:00,162.0,T2A,0.11499999999999998
T1Tb,forced_slab_from_T2A,3459,-2.051709106653656,2.647953881676088,3.665145246480578,0.5008081560334697,13.027245000000004,2.832209705098478,-10.195035294901526,2026-04-01 14:56:00,2026-04-01 17:47:00,171.0,T2A,0.11999999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.8299760256567816,1.8721188861424005,2.6457608182404493,0.9088066566389673,13.027245000000004,6.443010172657239,-6.584234827342765,2026-04-01 14:56:00,2026-04-02 12:37:00,1301.0,T2A2,0.01
T1Tb,forced_slab_from_T2A2,3459,-1.8084325019232248,1.8572024558209872,2.6284996063060158,0.9139808854755923,13.027245000000004,6.3566892082762365,-6.670555791723768,2026-04-01 14:56:00,2026-04-02 12:37:00,1301.0,T2A2,0.015
T1Tb,forced_slab_from_T2A2,3459,-1.7873580698402665,1.8433006183679093,2.6110967603270483,0.9194019204761359,13.027245000000004,6.271537646595334,-6.75570735340467,2026-04-01 14:56:00,2026-04-02 12:38:00,1302.0,T2A2,0.019999999999999997
T1Tb,forced_slab_from_T2A2,3459,-1.7667428091021748,1.8304042767262165,2.5938010606522584,0.9249668009835237,13.027245000000004,6.185625329250115,-6.841619670749889,2026-04-01 14:56:00,2026-04-02 12:39:00,1303.0,T2A2,0.024999999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.7465851746157985,1.8183918572650664,2.576883637755687,0.9305681076018263,13.027245000000004,6.1001276954431205,-6.927117304556884,2026-04-01 14:56:00,2026-04-02 12:40:00,1304.0,T2A2,0.03
T1Tb,forced_slab_from_T2A2,3459,-1.7268902096754193,1.8073988084215171,2.5606302065727284,0.9360954865132676,13.027245000000004,6.0160208435049185,-7.011224156495086,2026-04-01 14:56:00,2026-04-02 12:48:00,1312.0,T2A2,0.034999999999999996
T1Tb,forced_slab_from_T2A2,3459,-1.7076666758630612,1.797319373234435,2.54533360081848,0.9414367857738963,13.027245000000004,5.940412277592998,-7.0868327224070065,2026-04-01 14:56:00,2026-04-02 12:49:00,1313.0,T2A2,0.039999999999999994
T1Tb,forced_slab_from_T2A2,3459,-1.6889251108417926,1.7881759448929386,2.5312886418303715,0.9464787646183237,13.027245000000004,5.860823423436216,-7.166421576563788,2026-04-01 14:56:00,2026-04-02 12:51:00,1315.0,T2A2,0.045
T1Tb,forced_slab_from_T2A2,3459,-1.6706768739604394,1.7800564959170344,2.5187873595436616,0.9511079204096289,13.027245000000004,5.778665395191581,-7.248579604808423,2026-04-01 14:56:00,2026-04-02 12:54:00,1318.0,T2A2,0.049999999999999996
